source_id,samples,avg_overall_score,avg_temp_error,avg_rh_error,avg_rain_error,avg_category_score,base_weight,derived_weight
BMKG,49,80.4,2.51,7.73,,74.69,1.35,1.8133
CMA,240,81.04,1.63,11.17,0.11,57.67,0.85,1.146
ECMWF,240,93.37,0.77,5.29,0.04,89.08,1.2,1.7363
GFS,240,85.83,1.61,8.09,0.06,72.0,1.0,1.3867
ICON,240,85.42,1.51,8.55,0.06,69.83,1.05,1.4525
KMA,240,21.67,,,,69.33,0.9,0.786
METEOFRANCE,240,75.27,4.92,12.21,0.06,71.83,1.1,1.4324
METNO,51,85.95,1.4,6.45,0.04,67.84,1.0,1.3876
UKMO,240,86.29,1.55,5.56,0.06,70.17,0.95,1.3208
