target_date,source_id,jam,temp_error,rh_error,rain_error,category_score,overall_score
2026-08-24,ICON,10:00,1.3,7.0,0.0,100.0,94.26
2026-08-24,ICON,11:00,1.3,7.0,0.0,100.0,94.26
2026-08-24,ICON,12:00,1.6,6.0,0.0,100.0,93.72
2026-08-24,ICON,13:00,1.6,3.0,0.0,60.0,84.62
2026-08-24,ICON,14:00,2.3,3.0,0.0,60.0,82.66
2026-08-24,ICON,15:00,2.6,7.0,0.0,100.0,90.62
2026-08-24,ICON,16:00,2.3,8.0,0.0,100.0,91.16
2026-08-24,ICON,17:00,2.0,5.0,0.0,60.0,82.9
2026-08-24,ICON,18:00,0.9,0.0,0.0,100.0,97.48
2026-08-24,ICON,19:00,0.4,4.0,0.0,100.0,97.68
2026-08-24,ICON,20:00,0.5,4.0,0.0,100.0,97.4
2026-08-24,ICON,21:00,0.2,0.0,0.0,100.0,99.44
2026-08-24,ICON,22:00,0.1,7.0,0.0,60.0,87.62
2026-08-24,ICON,23:00,0.3,11.0,0.0,100.0,95.86
2026-08-24,KMA,00:00,,,,60.0,18.75
2026-08-24,KMA,01:00,,,,100.0,31.25
2026-08-24,KMA,02:00,,,,60.0,18.75
2026-08-24,KMA,03:00,,,,100.0,31.25
2026-08-24,KMA,04:00,,,,100.0,31.25
2026-08-24,KMA,05:00,,,,100.0,31.25
2026-08-24,KMA,06:00,,,,60.0,18.75
2026-08-24,KMA,07:00,,,,100.0,31.25
2026-08-24,KMA,08:00,,,,60.0,18.75
2026-08-24,KMA,09:00,,,,60.0,18.75
2026-08-24,KMA,10:00,,,,60.0,18.75
2026-08-24,KMA,11:00,,,,60.0,18.75
2026-08-24,KMA,12:00,,,,60.0,18.75
2026-08-24,KMA,13:00,,,,60.0,18.75
2026-08-24,KMA,14:00,,,,60.0,18.75
2026-08-24,KMA,15:00,,,,60.0,18.75
2026-08-24,KMA,16:00,,,,60.0,18.75
2026-08-24,KMA,17:00,,,,60.0,18.75
2026-08-24,KMA,18:00,,,,60.0,18.75
2026-08-24,KMA,19:00,,,,60.0,18.75
2026-08-24,KMA,20:00,,,,60.0,18.75
2026-08-24,KMA,21:00,,,,60.0,18.75
2026-08-24,KMA,22:00,,,,60.0,18.75
2026-08-24,KMA,23:00,,,,60.0,18.75
2026-08-24,METEOFRANCE,00:00,4.5,7.0,0.0,100.0,85.3
2026-08-24,METEOFRANCE,01:00,4.6,13.0,0.0,60.0,73.22
2026-08-24,METEOFRANCE,02:00,4.9,13.0,0.0,100.0,82.38
2026-08-24,METEOFRANCE,03:00,5.1,9.0,0.0,60.0,73.02
2026-08-24,METEOFRANCE,04:00,5.4,9.0,0.0,100.0,82.18
2026-08-24,METEOFRANCE,05:00,5.8,14.0,0.0,60.0,69.56
2026-08-24,METEOFRANCE,06:00,5.2,15.0,0.0,100.0,80.94
2026-08-24,METEOFRANCE,07:00,4.4,15.0,0.0,60.0,73.18
2026-08-24,METEOFRANCE,08:00,3.9,18.0,0.0,60.0,73.68
2026-08-24,METEOFRANCE,09:00,4.1,20.0,0.0,100.0,82.52
2026-08-24,METEOFRANCE,10:00,3.7,16.0,0.0,100.0,84.84
2026-08-24,METEOFRANCE,11:00,3.4,15.0,0.0,60.0,75.98
2026-08-24,METEOFRANCE,12:00,3.3,11.0,0.0,60.0,77.46
2026-08-24,METEOFRANCE,13:00,3.0,7.0,0.0,100.0,89.5
2026-08-24,METEOFRANCE,14:00,3.6,6.0,0.0,100.0,88.12
2026-08-24,METEOFRANCE,15:00,3.8,8.0,0.0,60.0,76.96
2026-08-24,METEOFRANCE,16:00,3.9,9.0,0.0,60.0,76.38
2026-08-24,METEOFRANCE,17:00,4.3,9.0,0.0,100.0,85.26
2026-08-24,METEOFRANCE,18:00,4.3,12.0,0.0,60.0,74.36
2026-08-24,METEOFRANCE,19:00,3.7,9.0,0.0,60.0,76.94
2026-08-24,METEOFRANCE,20:00,3.9,8.0,0.0,60.0,76.68
2026-08-24,METEOFRANCE,21:00,4.1,8.0,0.0,60.0,76.12
2026-08-24,METEOFRANCE,22:00,4.4,13.0,0.0,60.0,73.78
2026-08-24,METEOFRANCE,23:00,4.7,16.0,0.0,60.0,72.04
2026-08-24,METNO,17:00,4.4,21.8,0.0,100.0,81.14
2026-08-24,METNO,18:00,2.8,14.8,0.0,100.0,87.72
2026-08-24,METNO,19:00,1.9,10.8,0.0,100.0,91.44
2026-08-24,METNO,20:00,1.9,13.7,0.0,100.0,90.57
2026-08-24,METNO,21:00,1.8,14.1,0.0,60.0,80.73
2026-08-24,METNO,22:00,1.4,9.3,0.0,60.0,83.29
2026-08-24,METNO,23:00,0.8,3.8,0.0,60.0,86.62
2026-08-24,UKMO,00:00,3.0,5.0,0.0,60.0,80.1
2026-08-24,UKMO,01:00,0.6,4.0,0.0,100.0,97.12
2026-08-24,UKMO,02:00,0.3,3.0,0.0,60.0,88.26
2026-08-24,UKMO,03:00,0.4,6.0,0.0,100.0,97.08
2026-08-24,UKMO,04:00,0.2,5.0,0.0,100.0,97.94
2026-08-24,UKMO,05:00,0.1,3.0,0.0,100.0,98.82
2026-08-24,UKMO,06:00,0.3,4.0,0.0,60.0,87.96
2026-08-24,UKMO,07:00,1.2,1.0,0.0,60.0,86.34
2026-08-24,UKMO,08:00,0.2,4.0,0.0,60.0,88.24
2026-08-24,UKMO,09:00,0.1,6.0,0.0,100.0,97.92
2026-08-24,UKMO,10:00,0.9,1.0,0.0,100.0,97.18
2026-08-24,UKMO,11:00,0.9,1.0,0.0,100.0,97.18
2026-08-24,UKMO,12:00,1.1,1.0,0.0,60.0,86.62
2026-08-24,UKMO,13:00,1.1,1.0,0.0,60.0,86.62
2026-08-24,UKMO,14:00,0.9,3.0,0.0,60.0,86.58
2026-08-24,UKMO,15:00,1.0,3.0,0.0,60.0,86.3
2026-08-24,UKMO,16:00,1.7,9.0,0.0,60.0,82.54
2026-08-24,UKMO,17:00,1.3,11.0,0.0,100.0,93.06
2026-08-24,UKMO,18:00,2.4,17.0,0.0,100.0,88.18
2026-08-24,UKMO,19:00,2.8,19.0,0.0,100.0,86.46
2026-08-24,UKMO,20:00,2.6,18.0,0.0,100.0,87.32
2026-08-24,UKMO,21:00,2.5,17.0,0.0,100.0,87.9
2026-08-24,UKMO,22:00,2.5,11.0,0.0,100.0,89.7
2026-08-24,UKMO,23:00,2.6,6.0,0.0,60.0,80.92
2026-08-25,BMKG,17:00,6.5,36.0,,0.0,32.5
2026-08-25,BMKG,18:00,5.0,28.0,,60.0,59.5
2026-08-25,BMKG,19:00,3.8,20.0,,60.0,66.7
2026-08-25,BMKG,20:00,2.5,12.0,,100.0,86.75
2026-08-25,BMKG,21:00,2.2,7.0,,100.0,89.68
2026-08-25,BMKG,22:00,2.7,3.0,,60.0,76.92
2026-08-25,BMKG,23:00,2.4,2.0,,60.0,78.35
2026-08-25,CMA,00:00,1.3,7.0,0.0,100.0,94.26
2026-08-25,CMA,01:00,1.5,10.0,0.0,60.0,82.8
2026-08-25,CMA,02:00,2.1,13.0,0.0,60.0,80.22
2026-08-25,CMA,03:00,1.9,14.0,0.0,60.0,80.48
2026-08-25,CMA,04:00,2.3,15.0,0.0,60.0,79.06
2026-08-25,CMA,05:00,2.7,16.0,0.0,60.0,77.64
2026-08-25,CMA,06:00,3.3,15.0,0.0,60.0,76.26
2026-08-25,CMA,07:00,1.7,9.0,0.0,60.0,82.54
2026-08-25,CMA,08:00,0.1,1.0,0.0,100.0,99.42
2026-08-25,CMA,09:00,1.2,9.0,0.0,100.0,93.94
2026-08-25,CMA,10:00,2.1,13.0,0.0,100.0,90.22
2026-08-25,CMA,11:00,2.8,14.0,0.0,100.0,87.96
2026-08-25,CMA,12:00,3.3,12.0,0.0,100.0,87.16
2026-08-25,CMA,13:00,4.3,15.0,0.1,0.0,58.06
2026-08-25,CMA,14:00,3.3,12.0,0.3,0.0,60.96
2026-08-25,CMA,15:00,2.3,7.0,0.4,0.0,64.86
2026-08-25,CMA,16:00,1.7,9.0,0.4,0.0,65.94
2026-08-25,CMA,17:00,1.7,16.0,0.1,0.0,65.04
2026-08-25,CMA,18:00,2.0,22.0,0.0,100.0,87.8
