tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
08-09-2026,BMKG,BMKG,19:00,2026-09-08 22:00:00,27.0,68.0,0.0,2.6,180.0,0.993,Cerah,Cerah
08-09-2026,BMKG,BMKG,20:00,2026-09-08 22:00:00,27.0,68.0,0.0,2.6,120.0,0.993,Cerah,Cerah
08-09-2026,BMKG,BMKG,21:00,2026-09-08 22:00:00,27.0,68.0,0.0,2.6,60.0,1.3541,Cerah,Cerah
08-09-2026,BMKG,BMKG,22:00,2026-09-08 22:00:00,27.0,68.0,0.0,2.6,0.0,1.8054,Cerah,Cerah
08-09-2026,BMKG,BMKG,23:00,2026-09-08 22:00:00,27.0,68.0,0.0,2.6,60.0,1.3541,Cerah,Cerah
08-09-2026,CMA,Open-Meteo / CMA GRAPES,00:00,2026-09-08 00:00:00,24.4,84.0,0.0,11.7,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,01:00,2026-09-08 01:00:00,24.4,84.0,0.0,10.9,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,02:00,2026-09-08 02:00:00,24.4,84.0,0.0,10.5,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,03:00,2026-09-08 03:00:00,24.4,85.0,0.0,10.2,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,04:00,2026-09-08 04:00:00,24.5,84.0,0.0,10.2,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,05:00,2026-09-08 05:00:00,24.9,82.0,0.0,10.2,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,06:00,2026-09-08 06:00:00,25.5,80.0,0.0,10.7,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,07:00,2026-09-08 07:00:00,26.3,76.0,0.0,10.7,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,08:00,2026-09-08 08:00:00,27.5,71.0,0.0,10.5,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,09:00,2026-09-08 09:00:00,29.0,65.0,0.0,9.6,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,10:00,2026-09-08 10:00:00,30.3,60.0,0.0,9.4,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,11:00,2026-09-08 11:00:00,31.4,56.0,0.0,9.8,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,12:00,2026-09-08 12:00:00,32.2,52.0,0.0,10.4,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,13:00,2026-09-08 13:00:00,32.5,51.0,0.0,11.4,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,14:00,2026-09-08 14:00:00,32.1,55.0,0.0,12.8,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,15:00,2026-09-08 15:00:00,31.2,61.0,0.0,14.0,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,16:00,2026-09-08 16:00:00,30.1,67.0,0.0,15.1,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,17:00,2026-09-08 17:00:00,29.0,70.0,0.0,15.3,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,18:00,2026-09-08 18:00:00,27.7,72.0,0.0,15.2,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,19:00,2026-09-08 19:00:00,26.6,74.0,0.0,14.9,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,20:00,2026-09-08 20:00:00,26.0,76.0,0.0,14.7,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,21:00,2026-09-08 21:00:00,25.7,78.0,0.0,14.1,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,22:00,2026-09-08 22:00:00,25.5,79.0,0.0,13.6,0.0,1.1802,Cerah,wmo:0
08-09-2026,CMA,Open-Meteo / CMA GRAPES,23:00,2026-09-08 23:00:00,25.2,80.0,0.0,12.8,0.0,1.1802,Cerah,wmo:0
08-09-2026,ECMWF,Open-Meteo / ECMWF,00:00,2026-09-08 00:00:00,25.2,75.0,0.0,3.0,0.0,1.7119,Cerah Berawan,wmo:2
08-09-2026,ECMWF,Open-Meteo / ECMWF,01:00,2026-09-08 01:00:00,24.8,76.0,0.0,3.2,0.0,1.7119,Berawan,wmo:3
08-09-2026,ECMWF,Open-Meteo / ECMWF,02:00,2026-09-08 02:00:00,24.2,78.0,0.0,3.2,0.0,1.7119,Berawan,wmo:3
