tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
28-09-2026,00:00,26.0,Cerah Berawan,73.0,3.0
28-09-2026,01:00,26.0,Cerah Berawan,73.0,3.0
28-09-2026,02:00,26.0,Cerah Berawan,73.0,3.0
28-09-2026,03:00,26.0,Cerah,71.0,3.2
28-09-2026,04:00,26.0,Cerah,71.0,3.2
28-09-2026,05:00,26.0,Cerah,71.0,3.2
28-09-2026,06:00,30.0,Cerah,55.0,3.9
28-09-2026,07:00,30.0,Cerah,55.0,3.9
28-09-2026,08:00,30.0,Cerah,55.0,3.9
28-09-2026,09:00,35.0,Cerah,40.0,10.1
28-09-2026,10:00,35.0,Cerah,40.0,10.1
28-09-2026,11:00,35.0,Cerah,40.0,10.1
28-09-2026,12:00,34.0,Cerah,43.0,17.0
28-09-2026,13:00,34.0,Cerah,43.0,17.0
28-09-2026,14:00,34.0,Cerah,43.0,17.0
28-09-2026,15:00,30.0,Cerah,52.0,16.8
28-09-2026,16:00,30.0,Cerah,52.0,16.8
28-09-2026,17:00,30.0,Cerah,52.0,16.8
28-09-2026,18:00,28.0,Cerah,67.0,10.1
28-09-2026,19:00,28.0,Cerah,67.0,10.1
28-09-2026,20:00,28.0,Cerah,67.0,10.1
28-09-2026,21:00,28.0,Cerah,73.0,1.7
28-09-2026,22:00,28.0,Cerah,73.0,1.7
28-09-2026,23:00,28.0,Cerah,73.0,1.7
