tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
14-06-2026,08:00,33.0,Cerah Berawan,56.0,15.1
14-06-2026,09:00,33.0,Cerah Berawan,56.0,15.1
14-06-2026,10:00,33.0,Cerah Berawan,56.0,15.1
14-06-2026,11:00,33.0,Cerah Berawan,56.0,15.1
14-06-2026,12:00,33.0,Cerah Berawan,56.0,15.1
14-06-2026,13:00,32.0,Cerah,55.0,15.0
14-06-2026,14:00,32.0,Cerah,55.0,15.0
14-06-2026,15:00,32.0,Cerah,55.0,15.0
14-06-2026,16:00,29.0,Cerah,69.0,4.0
14-06-2026,17:00,29.0,Cerah,69.0,4.0
14-06-2026,18:00,29.0,Cerah,69.0,4.0
14-06-2026,19:00,27.0,Hujan Ringan,80.0,5.3
14-06-2026,20:00,27.0,Hujan Ringan,80.0,5.3
14-06-2026,21:00,27.0,Hujan Ringan,80.0,5.3
14-06-2026,22:00,24.0,Cerah,85.0,8.5
14-06-2026,23:00,24.0,Cerah,85.0,8.5
