bin,n,mean_forecast_pct,observed_frequency_pct
00-10,1399,1.04,0.57
10-20,116,14.14,8.62
20-30,47,23.73,23.4
30-40,15,34.79,26.67
40-50,3,44.5,0.0
50-60,4,55.55,25.0
60-70,0,,
70-80,0,,
80-90,0,,
90-100,0,,
