date,day_tag,risk_score,risk_label,peak_rain_probability,peak_rain_hour,best_activity_window,summary
2026-09-26,Hari ini,100,Berpotensi signifikan,90.0,15:00,07:00 · 08:00 · 18:00 · 17:00,Arjawinangun: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 15:00 WIB (peluang 90.0%). Periode nyaman terpantau pada: 07:00 · 08:00 · 18:00 · 17:00.
2026-09-27,Besok,100,Berpotensi signifikan,100.0,21:00,06:00 · 07:00 · 18:00 · 08:00,Arjawinangun: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 21:00 WIB (peluang 100.0%). Periode nyaman terpantau pada: 06:00 · 07:00 · 18:00 · 08:00.
2026-09-28,Lusa,100,Berpotensi signifikan,90.0,21:00,06:00 · 18:00 · 17:00,Arjawinangun: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 21:00 WIB (peluang 90.0%). Periode nyaman terpantau pada: 06:00 · 18:00 · 17:00.
