location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",00:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,74.0,Sedang,21.1,+/-1.81,92.31,+/-2.43,0.0,+/-0.0,21.1,+/-1.81,58.8,35.0,6.1,0.0,0.0,0.0,1.81,2.43,0.0,1.81,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.3,Sedang,20.49,+/-1.73,93.31,+/-1.82,0.0,+/-0.0,20.49,+/-1.73,75.5,18.4,6.1,0.0,0.0,0.0,1.73,1.82,0.0,1.73,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",02:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.2,Sedang,20.07,+/-1.87,93.31,+/-1.61,0.0,+/-0.0,20.07,+/-1.87,75.5,18.4,6.1,0.0,0.0,0.0,1.87,1.61,0.0,1.87,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",03:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.1,Sedang,19.66,+/-2.09,93.3,+/-1.84,0.0,+/-0.0,19.66,+/-2.09,75.5,18.4,6.1,0.0,0.0,0.0,2.09,1.84,0.0,2.09,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",04:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,73.8,Sedang,19.38,+/-2.17,92.62,+/-2.7,0.0,+/-0.0,19.38,+/-2.17,58.8,18.4,22.8,0.0,0.0,0.0,2.17,2.7,0.0,2.17,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",05:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,73.8,Sedang,19.14,+/-2.08,91.86,+/-3.47,0.0,+/-0.0,19.14,+/-2.08,58.8,18.4,22.8,0.0,0.0,0.0,2.08,3.47,0.0,2.08,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",06:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,73.8,Sedang,19.04,+/-1.92,90.78,+/-4.48,0.0,+/-0.0,19.04,+/-1.92,58.8,35.0,6.1,0.0,0.0,0.0,1.92,4.48,0.0,1.92,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",07:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,74.4,Sedang,19.82,+/-1.61,87.54,+/-4.63,0.0,+/-0.0,19.82,+/-1.61,60.6,33.2,6.1,0.0,0.0,0.0,1.61,4.63,0.0,1.61,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",08:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,74.1,Sedang,21.74,+/-1.64,80.14,+/-3.17,0.0,+/-0.0,21.74,+/-1.64,59.1,34.8,6.1,0.0,0.0,0.0,1.64,3.17,0.0,1.64,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",09:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,71.9,Sedang,24.0,+/-1.71,68.74,+/-0.44,0.0,+/-0.0,23.27,+/-0.75,44.2,49.6,6.1,0.0,0.0,0.0,1.71,0.44,0.0,0.75,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",10:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,70.3,Sedang,25.14,+/-0.81,63.34,+/-3.81,0.0,+/-0.0,25.14,+/-0.81,42.4,33.1,24.5,0.0,0.0,0.0,0.81,3.81,0.0,0.81,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",11:00,7,8.9277,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,75.5,Sedang,27.27,+/-1.66,57.82,+/-3.55,0.0,+/-0.0,27.95,+/-2.42,29.3,64.6,6.1,0.0,0.0,0.0,1.66,3.55,0.0,2.42,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",12:00,9,10.6128,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,85.8,Tinggi,28.11,+/-1.59,53.23,+/-4.44,0.0,+/-0.0,28.8,+/-2.18,33.5,61.3,5.2,0.0,0.0,0.0,1.59,4.44,0.0,2.18,9,1.0,33.33,180.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",13:00,9,10.8822,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.9,Tinggi,28.57,+/-1.61,52.17,+/-5.48,0.0,+/-0.0,29.29,+/-2.36,59.9,35.0,5.0,0.0,0.0,0.0,1.61,5.48,0.0,2.36,9,1.0,20.0,120.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14:00,9,11.5623,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.5,Tinggi,28.55,+/-1.61,52.5,+/-5.88,0.0,+/-0.0,28.5,+/-1.46,46.7,48.5,4.7,0.0,0.0,0.0,1.61,5.88,0.0,1.46,9,1.0,6.67,60.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",15:00,9,11.9915,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.9,Tinggi,28.16,+/-1.53,54.44,+/-6.47,0.0,+/-0.0,28.19,+/-1.39,37.6,46.9,15.5,0.0,0.0,0.0,1.53,6.47,0.0,1.39,9,1.0,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",16:00,9,11.5623,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,81.1,Tinggi,27.51,+/-1.45,58.6,+/-7.23,0.04,+/-0.07,28.41,+/-2.51,35.2,12.7,29.0,23.1,0.0,0.0,1.45,7.23,0.07,2.51,9,1.0,6.67,60.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",17:00,9,11.5623,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.5,Tinggi,26.37,+/-1.59,69.03,+/-9.64,0.01,+/-0.03,25.35,+/-0.47,9.9,49.8,28.7,11.5,0.0,0.0,1.59,9.64,0.03,0.47,9,1.0,6.67,60.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",18:00,9,11.9915,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,88.3,Tinggi,24.16,+/-2.14,76.96,+/-9.13,0.01,+/-0.03,24.66,+/-2.93,9.6,62.6,16.8,11.1,0.0,0.0,2.14,9.13,0.03,2.93,9,1.0,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",19:00,9,11.5623,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.8,Tinggi,23.32,+/-1.77,84.64,+/-4.8,0.02,+/-0.04,23.32,+/-1.77,9.9,49.8,17.4,22.8,0.0,0.0,1.77,4.8,0.04,1.77,9,1.0,6.67,60.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",20:00,9,11.5623,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.7,Tinggi,23.02,+/-1.32,85.31,+/-6.45,0.0,+/-0.0,23.02,+/-1.32,9.9,61.2,28.9,0.0,0.0,0.0,1.32,6.45,0.0,1.32,9,1.0,6.67,60.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",21:00,9,11.9915,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,89.1,Tinggi,22.56,+/-1.12,87.94,+/-5.51,0.0,+/-0.0,22.56,+/-1.12,9.6,62.6,27.8,0.0,0.0,0.0,1.12,5.51,0.0,1.12,9,1.0,0.0,0.0
dago,"Dago, Bandung",2026-06-26,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",22:00,9,11.5623,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.9,Tinggi,22.21,+/-1.14,89.1,+/-4.87,0.0,+/-0.0,22.21,+/-1.14,9.9,61.2,28.9,0.0,0.0,0.0,1.14,4.87,0.0,1.14,9,1.0,6.67,60.0
