source_id,samples,avg_overall_score,avg_temp_error,avg_rh_error,avg_rain_error,avg_category_score,base_weight,derived_weight
BMKG,36,82.33,2.58,9.17,,83.33,1.35,1.8342
CMA,144,84.58,1.65,10.01,0.02,69.17,0.85,1.1702
ECMWF,144,93.33,0.71,4.97,0.01,87.36,1.2,1.736
GFS,144,88.53,1.16,5.61,0.01,74.03,1.0,1.4082
ICON,144,84.71,1.92,10.96,0.01,73.61,1.05,1.4465
KMA,144,19.18,,,,61.39,0.9,0.7681
METEOFRANCE,144,77.68,4.35,7.38,0.01,68.47,1.1,1.4536
METNO,36,88.95,1.56,7.38,0.01,82.22,1.0,1.4116
UKMO,144,86.92,1.71,7.51,0.01,75.97,0.95,1.3256
