source_id,samples,avg_overall_score,avg_temp_error,avg_rh_error,avg_rain_error,avg_category_score,base_weight,derived_weight
BMKG,32,69.72,3.85,13.59,,62.5,1.35,1.6979
CMA,120,79.47,1.82,14.41,0.05,56.33,0.85,1.1354
ECMWF,120,86.04,1.35,8.34,0.03,69.83,1.2,1.666
GFS,120,83.94,1.58,11.07,0.05,67.5,1.0,1.3716
ICON,120,87.59,0.9,5.73,0.02,67.67,1.05,1.4708
KMA,120,18.44,,,,59.0,0.9,0.7627
METEOFRANCE,120,79.57,2.61,16.31,0.03,67.5,1.1,1.4702
METNO,32,83.08,1.97,6.06,0.06,62.5,1.0,1.3646
UKMO,120,86.84,1.4,7.08,0.02,71.83,0.95,1.325
