source_id,samples,avg_overall_score,avg_temp_error,avg_rh_error,avg_rain_error,avg_category_score,base_weight,derived_weight
BMKG,77,68.39,4.47,19.84,,72.73,1.35,1.6836
CMA,240,78.65,2.44,17.86,0.07,64.5,0.85,1.1298
ECMWF,240,86.29,1.89,9.1,0.03,77.83,1.2,1.6684
GFS,240,84.63,2.02,8.32,0.04,71.67,1.0,1.377
ICON,240,88.31,1.05,5.7,0.03,72.33,1.05,1.4768
KMA,240,18.91,,,,60.5,0.9,0.7661
METEOFRANCE,240,82.94,2.49,11.19,0.03,73.5,1.1,1.4998
METNO,77,85.99,2.0,8.86,0.03,77.4,1.0,1.3879
UKMO,240,87.53,1.51,7.65,0.03,76.58,0.95,1.3303
