tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
22-06-2026,00:00,18.0,Cerah Berawan,98.0,0.6
22-06-2026,01:00,18.0,Cerah Berawan,98.0,0.6
22-06-2026,02:00,18.0,Cerah Berawan,98.0,0.6
22-06-2026,03:00,18.0,Cerah Berawan,98.0,0.6
22-06-2026,04:00,17.0,Cerah Berawan,98.0,1.6
22-06-2026,05:00,17.0,Cerah Berawan,98.0,1.6
22-06-2026,06:00,17.0,Cerah Berawan,98.0,1.6
22-06-2026,07:00,23.0,Cerah,70.0,4.2
22-06-2026,08:00,23.0,Cerah,70.0,4.2
22-06-2026,09:00,23.0,Cerah,70.0,4.2
22-06-2026,10:00,27.0,Cerah,52.0,5.5
22-06-2026,11:00,27.0,Cerah,52.0,5.5
22-06-2026,12:00,27.0,Cerah,52.0,5.5
22-06-2026,13:00,25.0,Cerah,67.0,5.1
22-06-2026,14:00,25.0,Cerah,67.0,5.1
22-06-2026,15:00,25.0,Cerah,67.0,5.1
22-06-2026,16:00,22.0,Cerah,86.0,1.8
22-06-2026,17:00,22.0,Cerah,86.0,1.8
22-06-2026,18:00,22.0,Cerah,86.0,1.8
22-06-2026,19:00,20.0,Cerah,93.0,1.9
22-06-2026,20:00,20.0,Cerah,93.0,1.9
22-06-2026,21:00,20.0,Cerah,93.0,1.9
22-06-2026,22:00,19.0,Cerah Berawan,97.0,1.4
22-06-2026,23:00,19.0,Cerah Berawan,97.0,1.4
