tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
28-08-2026,BMKG,BMKG,00:00,2026-08-28 02:00:00,17.0,95.0,0.0,2.8,120.0,0.9613,Berawan,Berawan
28-08-2026,BMKG,BMKG,01:00,2026-08-28 02:00:00,17.0,95.0,0.0,2.8,60.0,1.3109,Berawan,Berawan
28-08-2026,BMKG,BMKG,02:00,2026-08-28 02:00:00,17.0,95.0,0.0,2.8,0.0,1.7479,Berawan,Berawan
28-08-2026,BMKG,BMKG,03:00,2026-08-28 02:00:00,17.0,95.0,0.0,2.8,60.0,1.3109,Berawan,Berawan
28-08-2026,BMKG,BMKG,04:00,2026-08-28 05:00:00,16.0,96.0,0.0,2.8,60.0,1.3109,Cerah Berawan,Cerah Berawan
28-08-2026,BMKG,BMKG,05:00,2026-08-28 05:00:00,16.0,96.0,0.0,2.8,0.0,1.7479,Cerah Berawan,Cerah Berawan
28-08-2026,BMKG,BMKG,06:00,2026-08-28 05:00:00,16.0,96.0,0.0,2.8,60.0,1.3109,Cerah Berawan,Cerah Berawan
28-08-2026,BMKG,BMKG,07:00,2026-08-28 08:00:00,24.0,52.0,0.0,5.7,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,08:00,2026-08-28 08:00:00,24.0,52.0,0.0,5.7,0.0,1.7479,Cerah,Cerah
28-08-2026,BMKG,BMKG,09:00,2026-08-28 08:00:00,24.0,52.0,0.0,5.7,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,10:00,2026-08-28 11:00:00,29.0,33.0,0.0,4.5,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,11:00,2026-08-28 11:00:00,29.0,33.0,0.0,4.5,0.0,1.7479,Cerah,Cerah
28-08-2026,BMKG,BMKG,12:00,2026-08-28 11:00:00,29.0,33.0,0.0,4.5,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,13:00,2026-08-28 14:00:00,29.0,34.0,0.0,5.6,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,14:00,2026-08-28 14:00:00,29.0,34.0,0.0,5.6,0.0,1.7479,Cerah,Cerah
28-08-2026,BMKG,BMKG,15:00,2026-08-28 14:00:00,29.0,34.0,0.0,5.6,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,16:00,2026-08-28 17:00:00,24.0,60.0,0.0,2.9,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,17:00,2026-08-28 17:00:00,24.0,60.0,0.0,2.9,0.0,1.7479,Cerah,Cerah
28-08-2026,BMKG,BMKG,18:00,2026-08-28 17:00:00,24.0,60.0,0.0,2.9,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,19:00,2026-08-28 20:00:00,20.0,78.0,0.0,3.0,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,20:00,2026-08-28 20:00:00,20.0,78.0,0.0,3.0,0.0,1.7479,Cerah,Cerah
28-08-2026,BMKG,BMKG,21:00,2026-08-28 20:00:00,20.0,78.0,0.0,3.0,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,22:00,2026-08-28 23:00:00,17.0,90.0,0.0,1.6,60.0,1.3109,Cerah,Cerah
28-08-2026,BMKG,BMKG,23:00,2026-08-28 23:00:00,17.0,90.0,0.0,1.6,0.0,1.7479,Cerah,Cerah
28-08-2026,CMA,Open-Meteo / CMA GRAPES,00:00,2026-08-28 00:00:00,20.6,72.0,0.1,8.5,0.0,1.1474,Hujan Ringan,wmo:51
28-08-2026,CMA,Open-Meteo / CMA GRAPES,01:00,2026-08-28 01:00:00,20.0,70.0,0.1,8.1,0.0,1.1474,Hujan Ringan,wmo:51
28-08-2026,CMA,Open-Meteo / CMA GRAPES,02:00,2026-08-28 02:00:00,19.4,72.0,0.0,8.1,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,03:00,2026-08-28 03:00:00,18.7,75.0,0.0,8.2,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,04:00,2026-08-28 04:00:00,18.4,77.0,0.0,8.2,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,05:00,2026-08-28 05:00:00,18.4,75.0,0.0,8.9,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,06:00,2026-08-28 06:00:00,18.6,72.0,0.0,9.6,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,07:00,2026-08-28 07:00:00,19.4,69.0,0.0,9.7,0.0,1.1474,Cerah Berawan,wmo:1
28-08-2026,CMA,Open-Meteo / CMA GRAPES,08:00,2026-08-28 08:00:00,20.8,66.0,0.0,8.7,0.0,1.1474,Cerah Berawan,wmo:1
28-08-2026,CMA,Open-Meteo / CMA GRAPES,09:00,2026-08-28 09:00:00,22.7,64.0,0.0,8.2,0.0,1.1474,Cerah Berawan,wmo:1
28-08-2026,CMA,Open-Meteo / CMA GRAPES,10:00,2026-08-28 10:00:00,24.4,61.0,0.0,7.2,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,11:00,2026-08-28 11:00:00,25.5,59.0,0.0,6.9,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,12:00,2026-08-28 12:00:00,26.3,57.0,0.0,8.2,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,13:00,2026-08-28 13:00:00,26.9,55.0,0.0,10.4,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,14:00,2026-08-28 14:00:00,27.6,53.0,0.0,11.5,0.0,1.1474,Cerah,wmo:0
28-08-2026,CMA,Open-Meteo / CMA GRAPES,15:00,2026-08-28 15:00:00,28.1,52.0,0.0,12.0,0.0,1.1474,Cerah,wmo:0
