date,day_tag,risk_score,risk_label,peak_rain_probability,peak_rain_hour,best_activity_window,summary
2026-08-15,Hari ini,91.5,Berpotensi signifikan,100.0,20:00,08:00 · 09:00 · 10:00 · 11:00,"Jatinangor, Sumedang: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 20:00 WIB (peluang 100.0%). Periode nyaman terpantau pada: 08:00 · 09:00 · 10:00 · 11:00."
2026-08-16,Besok,93.6,Berpotensi signifikan,100.0,18:00,06:00 · 08:00 · 09:00 · 10:00,"Jatinangor, Sumedang: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 18:00 WIB (peluang 100.0%). Periode nyaman terpantau pada: 06:00 · 08:00 · 09:00 · 10:00."
2026-08-17,Lusa,66.8,Waspada,70.0,18:00,07:00 · 06:00 · 10:00 · 11:00,"Jatinangor, Sumedang: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 18:00 WIB (peluang 70.0%). Periode nyaman terpantau pada: 07:00 · 06:00 · 10:00 · 11:00."
