source_id,provider,state,success,points,ema_success,ema_completeness,consecutive_failures,http_status,duration_ms,error
BMKG,BMKG,ACTIVE,True,24,1.0,0.8816,0,200,23,
CMA,Open-Meteo / CMA GRAPES,ACTIVE,True,24,0.9999,0.9999,0,200,638,
ECMWF,Open-Meteo / ECMWF,ACTIVE,True,24,0.9999,0.9999,0,200,633,
GFS,Open-Meteo / NOAA GFS,ACTIVE,True,24,0.9999,0.9999,0,200,625,
ICON,Open-Meteo / DWD ICON,ACTIVE,True,24,0.9999,0.9999,0,200,632,
KMA,Open-Meteo / KMA,ACTIVE,True,24,0.9999,0.9999,0,200,623,
METEOFRANCE,Open-Meteo / Meteo-France,ACTIVE,True,24,0.9999,0.9999,0,200,634,
METNO,MET Norway,ACTIVE,True,24,1.0,0.8816,0,200,620,
UKMO,Open-Meteo / UK Met Office,ACTIVE,True,24,0.9999,0.9999,0,200,636,
