bin,n,mean_forecast_pct,observed_frequency_pct
00-10,337,2.36,1.19
10-20,47,14.33,12.77
20-30,47,24.6,21.28
30-40,22,35.22,36.36
40-50,12,44.61,25.0
50-60,6,55.37,50.0
60-70,6,64.35,83.33
70-80,3,70.37,66.67
80-90,0,,
90-100,0,,
