tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
27-07-2026,11:00,27.0,Berawan,40.0,12.4
27-07-2026,12:00,27.0,Berawan,40.0,12.4
27-07-2026,13:00,27.0,Berawan,40.0,12.4
27-07-2026,14:00,27.0,Berawan,40.0,12.4
27-07-2026,15:00,27.0,Berawan,40.0,12.4
27-07-2026,16:00,21.0,Cerah,62.0,4.3
27-07-2026,17:00,21.0,Cerah,62.0,4.3
27-07-2026,18:00,21.0,Cerah,62.0,4.3
27-07-2026,19:00,19.0,Cerah,78.0,1.7
27-07-2026,20:00,19.0,Cerah,78.0,1.7
27-07-2026,21:00,19.0,Cerah,78.0,1.7
27-07-2026,22:00,17.0,Cerah Berawan,89.0,0.9
27-07-2026,23:00,17.0,Cerah Berawan,89.0,0.9
