tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
12-09-2026,07:00,28.0,Cerah Berawan,52.0,8.1
12-09-2026,08:00,28.0,Cerah Berawan,52.0,8.1
12-09-2026,09:00,28.0,Cerah Berawan,52.0,8.1
12-09-2026,10:00,28.0,Cerah Berawan,52.0,8.1
12-09-2026,11:00,28.0,Cerah Berawan,52.0,8.1
12-09-2026,12:00,29.0,Cerah,45.0,11.6
12-09-2026,13:00,29.0,Cerah,45.0,11.6
12-09-2026,14:00,29.0,Cerah,45.0,11.6
12-09-2026,15:00,27.0,Cerah,53.0,10.8
12-09-2026,16:00,27.0,Cerah,53.0,10.8
12-09-2026,17:00,27.0,Cerah,53.0,10.8
12-09-2026,18:00,23.0,Berawan,83.0,5.0
12-09-2026,19:00,23.0,Berawan,83.0,5.0
12-09-2026,20:00,23.0,Berawan,83.0,5.0
12-09-2026,21:00,20.0,Berawan,88.0,1.9
12-09-2026,22:00,20.0,Berawan,88.0,1.9
12-09-2026,23:00,20.0,Berawan,88.0,1.9
