bin,n,mean_forecast_pct,observed_frequency_pct
00-10,817,1.21,0.61
10-20,83,13.75,7.23
20-30,38,23.84,13.16
30-40,15,34.79,26.67
40-50,3,44.5,0.0
50-60,4,55.55,25.0
60-70,0,,
70-80,0,,
80-90,0,,
90-100,0,,
