date,day_tag,risk_score,risk_label,peak_rain_probability,peak_rain_hour,best_activity_window,summary
2026-07-25,Hari ini,60.0,Waspada,60.0,22:00,06:00 · 07:00 · 08:00 · 09:00,Arjawinangun: Potensi hujan terpantau. Siapkan perlengkapan hujan di sekitar pukul 22:00 WIB (peluang 60.0%). Periode nyaman terpantau pada: 06:00 · 07:00 · 08:00 · 09:00.
2026-07-26,Besok,58.0,Waspada,60.0,05:00,06:00 · 07:00 · 08:00 · 09:00,Arjawinangun: Potensi hujan terpantau. Siapkan perlengkapan hujan di sekitar pukul 05:00 WIB (peluang 60.0%). Periode nyaman terpantau pada: 06:00 · 07:00 · 08:00 · 09:00.
2026-07-27,Lusa,60.6,Waspada,60.0,20:00,06:00 · 07:00 · 08:00 · 18:00,Arjawinangun: Potensi hujan terpantau. Siapkan perlengkapan hujan di sekitar pukul 20:00 WIB (peluang 60.0%). Periode nyaman terpantau pada: 06:00 · 07:00 · 08:00 · 18:00.
