source_id,provider,state,success,points,ema_success,ema_completeness,consecutive_failures,http_status,duration_ms,error
BMKG,BMKG,ACTIVE,True,24,1.0,0.7843,0,200,42,
CMA,Open-Meteo / CMA GRAPES,ACTIVE,True,24,0.9999,0.9999,0,200,638,
ECMWF,Open-Meteo / ECMWF,ACTIVE,True,24,0.9999,0.9999,0,200,627,
GFS,Open-Meteo / NOAA GFS,ACTIVE,True,24,0.9999,0.9999,0,200,604,
ICON,Open-Meteo / DWD ICON,ACTIVE,True,24,0.9999,0.9999,0,200,620,
KMA,Open-Meteo / KMA,RECOVERING,True,24,0.6499,0.6499,1,200,592,
METEOFRANCE,Open-Meteo / Meteo-France,RECOVERING,True,24,0.6499,0.6499,1,200,673,
METNO,MET Norway,ACTIVE,True,24,1.0,0.7748,0,200,701,
UKMO,Open-Meteo / UK Met Office,RECOVERING,True,24,0.6499,0.6499,1,200,624,
