tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
22-07-2026,06:00,30.0,Berawan,44.0,9.6
22-07-2026,07:00,30.0,Berawan,44.0,9.6
22-07-2026,08:00,30.0,Berawan,44.0,9.6
22-07-2026,09:00,30.0,Berawan,44.0,9.6
22-07-2026,10:00,30.0,Berawan,44.0,9.6
22-07-2026,11:00,33.0,Cerah Berawan,36.0,8.3
22-07-2026,12:00,33.0,Cerah Berawan,36.0,8.3
22-07-2026,13:00,33.0,Cerah Berawan,36.0,8.3
22-07-2026,14:00,33.0,Cerah,38.0,6.2
22-07-2026,15:00,33.0,Cerah,38.0,6.2
22-07-2026,16:00,33.0,Cerah,38.0,6.2
22-07-2026,17:00,28.0,Cerah Berawan,59.0,3.5
22-07-2026,18:00,28.0,Cerah Berawan,59.0,3.5
22-07-2026,19:00,28.0,Cerah Berawan,59.0,3.5
22-07-2026,20:00,26.0,Cerah,67.0,3.1
22-07-2026,21:00,26.0,Cerah,67.0,3.1
22-07-2026,22:00,26.0,Cerah,67.0,3.1
22-07-2026,23:00,26.0,Cerah,67.0,3.1
