tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
01-08-2026,11:00,27.0,Hujan Ringan,54.0,4.7
01-08-2026,12:00,27.0,Hujan Ringan,54.0,4.7
01-08-2026,13:00,27.0,Hujan Ringan,54.0,4.7
01-08-2026,14:00,27.0,Hujan Ringan,54.0,4.7
01-08-2026,15:00,27.0,Hujan Ringan,54.0,4.7
01-08-2026,16:00,24.0,Cerah,73.0,4.1
01-08-2026,17:00,24.0,Cerah,73.0,4.1
01-08-2026,18:00,24.0,Cerah,73.0,4.1
01-08-2026,19:00,21.0,Cerah,83.0,4.0
01-08-2026,20:00,21.0,Cerah,83.0,4.0
01-08-2026,21:00,21.0,Cerah,83.0,4.0
01-08-2026,22:00,20.0,Cerah,92.0,1.0
01-08-2026,23:00,20.0,Cerah,92.0,1.0
