tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
14-08-2026,BMKG,BMKG,10:00,2026-08-14 13:00:00,29.0,45.0,0.0,10.7,180.0,0.9262,Cerah,Cerah
14-08-2026,BMKG,BMKG,11:00,2026-08-14 13:00:00,29.0,45.0,0.0,10.7,120.0,0.9262,Cerah,Cerah
14-08-2026,BMKG,BMKG,12:00,2026-08-14 13:00:00,29.0,45.0,0.0,10.7,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,13:00,2026-08-14 13:00:00,29.0,45.0,0.0,10.7,0.0,1.6839,Cerah,Cerah
14-08-2026,BMKG,BMKG,14:00,2026-08-14 13:00:00,29.0,45.0,0.0,10.7,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,15:00,2026-08-14 16:00:00,26.0,55.0,0.0,8.6,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,16:00,2026-08-14 16:00:00,26.0,55.0,0.0,8.6,0.0,1.6839,Cerah,Cerah
14-08-2026,BMKG,BMKG,17:00,2026-08-14 16:00:00,26.0,55.0,0.0,8.6,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,18:00,2026-08-14 19:00:00,22.0,73.0,0.0,1.2,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,19:00,2026-08-14 19:00:00,22.0,73.0,0.0,1.2,0.0,1.6839,Cerah,Cerah
14-08-2026,BMKG,BMKG,20:00,2026-08-14 19:00:00,22.0,73.0,0.0,1.2,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,21:00,2026-08-14 22:00:00,20.0,84.0,0.0,4.1,60.0,1.2629,Cerah,Cerah
14-08-2026,BMKG,BMKG,22:00,2026-08-14 22:00:00,20.0,84.0,0.0,4.1,0.0,1.6839,Cerah,Cerah
14-08-2026,BMKG,BMKG,23:00,2026-08-14 22:00:00,20.0,84.0,0.0,4.1,60.0,1.2629,Cerah,Cerah
14-08-2026,CMA,Open-Meteo / CMA GRAPES,00:00,2026-08-14 00:00:00,20.8,92.0,0.0,0.7,0.0,1.1291,Cerah,wmo:0
14-08-2026,CMA,Open-Meteo / CMA GRAPES,01:00,2026-08-14 01:00:00,20.6,93.0,0.0,1.5,0.0,1.1291,Cerah,wmo:0
14-08-2026,CMA,Open-Meteo / CMA GRAPES,02:00,2026-08-14 02:00:00,20.4,94.0,0.0,1.3,0.0,1.1291,Cerah,wmo:0
14-08-2026,CMA,Open-Meteo / CMA GRAPES,03:00,2026-08-14 03:00:00,20.1,95.0,0.0,1.1,0.0,1.1291,Cerah Berawan,wmo:1
