date,day_tag,risk_score,risk_label,peak_rain_probability,peak_rain_hour,best_activity_window,summary
2026-07-21,Hari ini,74.2,Waspada,80.0,18:00,08:00 · 12:00 · 07:00 · 06:00,"Dago, Bandung: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 18:00 WIB (peluang 80.0%). Periode nyaman terpantau pada: 08:00 · 12:00 · 07:00 · 06:00."
2026-07-22,Besok,66.8,Waspada,70.0,18:00,08:00 · 12:00 · 13:00 · 14:00,"Dago, Bandung: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 18:00 WIB (peluang 70.0%). Periode nyaman terpantau pada: 08:00 · 12:00 · 13:00 · 14:00."
2026-07-23,Lusa,68.9,Waspada,70.0,19:00,08:00 · 12:00 · 13:00 · 14:00,"Dago, Bandung: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 19:00 WIB (peluang 70.0%). Periode nyaman terpantau pada: 08:00 · 12:00 · 13:00 · 14:00."
