tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
30-07-2026,06:00,26.0,Cerah,54.0,3.5
30-07-2026,07:00,26.0,Cerah,54.0,3.5
30-07-2026,08:00,26.0,Cerah,54.0,3.5
30-07-2026,09:00,26.0,Cerah,54.0,3.5
30-07-2026,10:00,26.0,Cerah,54.0,3.5
30-07-2026,11:00,28.0,Cerah,53.0,5.1
30-07-2026,12:00,28.0,Cerah,53.0,5.1
30-07-2026,13:00,28.0,Cerah,53.0,5.1
30-07-2026,14:00,25.0,Hujan Ringan,62.0,2.1
30-07-2026,15:00,25.0,Hujan Ringan,62.0,2.1
30-07-2026,16:00,25.0,Hujan Ringan,62.0,2.1
30-07-2026,17:00,22.0,Berawan,79.0,3.1
30-07-2026,18:00,22.0,Berawan,79.0,3.1
30-07-2026,19:00,22.0,Berawan,79.0,3.1
30-07-2026,20:00,21.0,Berawan,84.0,2.6
30-07-2026,21:00,21.0,Berawan,84.0,2.6
30-07-2026,22:00,21.0,Berawan,84.0,2.6
30-07-2026,23:00,21.0,Berawan,84.0,2.6
