date,day_tag,activity,status,advice,priority_hour,risk_class
2026-06-14,Besok,Perjalanan / motor,Perlu rencana cadangan,Lebih hati-hati sekitar 20:00 bila hujan muncul; jalan dapat lebih licin.,20:00,medium
2026-06-14,Besok,Jalan kaki,Perlu rencana cadangan,Masih memungkinkan. Siapkan payung bila keluar mendekati 20:00.,20:00,medium
2026-06-14,Besok,Jemur pakaian,Lebih aman pagi,Utamakan pagi sampai menjelang siang; hindari terlalu sore bila awan mulai gelap.,pagi–siang awal,watch
2026-06-14,Besok,Olahraga luar ruang,Pilih pagi/sore teduh,Pagi lebih nyaman. Kurangi durasi jika terasa panas/lembap atau hujan mulai muncul.,pagi,watch
2026-06-14,Besok,Acara outdoor,Siapkan plan B,"Untuk agenda penting, sediakan opsi tempat teduh terutama sekitar 20:00.",20:00,medium
2026-06-14,Besok,Foto / city walk,Pantau langit,Cek perubahan awan dan angin sebelum berangkat; cahaya setelah hujan bisa berubah cepat.,20:00,medium
