bin,n,mean_forecast_pct,observed_frequency_pct
00-10,141,2.23,2.84
10-20,53,14.43,13.21
20-30,33,24.92,12.12
30-40,39,34.62,23.08
40-50,21,44.04,57.14
50-60,17,55.76,41.18
60-70,7,66.5,57.14
70-80,1,75.2,0.0
80-90,0,,
90-100,0,,
