date,day_tag,hour,condition,rain_probability,temp_c,humidity_pct,heat_index_c,risk_class,risk_label
2026-06-14,Lusa,00:00,—,25.0,21.8,88.0,21.8,low,Aman dipantau
2026-06-14,Lusa,03:00,—,14.0,21.1,89.0,21.1,low,Aman dipantau
2026-06-14,Lusa,06:00,—,14.0,20.9,90.0,20.9,low,Aman dipantau
2026-06-14,Lusa,09:00,—,0.0,24.6,77.0,24.6,low,Aman dipantau
2026-06-14,Lusa,12:00,—,0.0,27.0,65.0,27.8,low,Aman dipantau
2026-06-14,Lusa,14:00,—,36.0,27.1,64.0,28.2,watch,Perlu dipantau
2026-06-14,Lusa,15:00,—,36.0,26.4,69.0,26.4,watch,Perlu dipantau
2026-06-14,Lusa,18:00,—,23.0,22.4,86.0,22.4,low,Aman dipantau
2026-06-14,Lusa,21:00,—,0.0,21.9,92.0,21.9,low,Aman dipantau
