source_id,samples,avg_overall_score,avg_temp_error,avg_rh_error,avg_rain_error,avg_category_score,base_weight,derived_weight
BMKG,57,83.52,2.46,9.26,,85.96,1.35,1.847
CMA,240,84.08,2.29,15.28,0.0,80.33,0.85,1.1668
ECMWF,240,91.16,1.4,7.1,0.0,88.83,1.2,1.7151
GFS,240,89.28,1.55,5.0,0.0,80.5,1.0,1.4142
ICON,240,89.93,0.94,6.3,0.0,77.83,1.05,1.4904
KMA,240,20.1,,,,64.33,0.9,0.7748
METEOFRANCE,240,89.33,1.23,7.08,0.0,79.67,1.1,1.5561
METNO,57,93.3,0.77,4.62,0.0,87.37,1.0,1.4464
UKMO,240,87.8,1.55,8.3,0.0,78.58,0.95,1.3323
