date,day_tag,risk_score,risk_label,peak_rain_probability,peak_rain_hour,best_activity_window,summary
2026-09-07,Hari ini,89.0,Berpotensi signifikan,100.0,05:00,06:00 · 07:00 · 08:00 · 09:00,"Dago, Bandung: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 05:00 WIB (peluang 100.0%). Periode nyaman terpantau pada: 06:00 · 07:00 · 08:00 · 09:00."
2026-09-08,Besok,23.5,Aman,31.7,21:00,06:00 · 07:00 · 08:00 · 09:00,"Dago, Bandung: Kondisi cuaca secara umum kondusif, tetap pantau potensi hujan sekitar pukul 21:00 WIB (peluang 31.7%)."
2026-09-09,Lusa,49.5,Perlu diperhatikan,56.1,16:00,06:00 · 07:00 · 08:00 · 09:00,"Dago, Bandung: Potensi hujan terpantau. Siapkan perlengkapan hujan di sekitar pukul 16:00 WIB (peluang 56.1%). Periode nyaman terpantau pada: 06:00 · 07:00 · 08:00 · 09:00."
