tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
27-09-2026,00:00,21.0,Cerah Berawan,91.0,3.4
27-09-2026,01:00,21.0,Cerah Berawan,91.0,3.4
27-09-2026,02:00,20.0,Cerah Berawan,95.0,0.6
27-09-2026,03:00,20.0,Cerah Berawan,95.0,0.6
27-09-2026,04:00,20.0,Cerah Berawan,95.0,0.6
27-09-2026,05:00,21.0,Cerah Berawan,93.0,1.5
27-09-2026,06:00,21.0,Cerah Berawan,93.0,1.5
27-09-2026,07:00,21.0,Cerah Berawan,93.0,1.5
27-09-2026,08:00,26.0,Cerah Berawan,63.0,3.2
27-09-2026,09:00,26.0,Cerah Berawan,63.0,3.2
27-09-2026,10:00,26.0,Cerah Berawan,63.0,3.2
27-09-2026,11:00,22.0,Hujan Ringan,86.0,9.1
27-09-2026,12:00,22.0,Hujan Ringan,86.0,9.1
27-09-2026,13:00,22.0,Hujan Ringan,86.0,9.1
27-09-2026,14:00,22.0,Hujan Ringan,88.0,6.6
27-09-2026,15:00,22.0,Hujan Ringan,88.0,6.6
27-09-2026,16:00,22.0,Hujan Ringan,88.0,6.6
27-09-2026,17:00,21.0,Hujan Ringan,95.0,1.5
27-09-2026,18:00,21.0,Hujan Ringan,95.0,1.5
27-09-2026,19:00,21.0,Hujan Ringan,95.0,1.5
27-09-2026,20:00,20.0,Cerah,94.0,0.4
27-09-2026,21:00,20.0,Cerah,94.0,0.4
27-09-2026,22:00,20.0,Cerah,94.0,0.4
27-09-2026,23:00,20.0,Cerah,94.0,0.4
