jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
10:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,80.8,Tinggi,27.07,+/-1.7,68.74,+/-3.94,0.21,+/-0.49,26.3,+/-0.9,24.5,35.8,16.8,22.9,0.0,0.0
13:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,83.1,Tinggi,28.08,+/-1.87,66.35,+/-7.21,0.02,+/-0.04,29.0,+/-1.9,13.6,24.5,16.8,45.1,0.0,0.0
16:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,85.9,Tinggi,25.58,+/-1.67,78.2,+/-5.25,1.14,+/-0.99,25.45,+/-1.86,0.0,11.4,7.2,58.1,11.4,11.9
19:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,82.8,Tinggi,23.63,+/-1.63,89.23,+/-3.98,0.39,+/-0.53,23.14,+/-1.13,0.0,25.0,18.7,43.8,12.5,0.0
22:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.2,Tinggi,22.8,+/-1.67,91.56,+/-3.51,0.12,+/-0.27,22.8,+/-1.67,10.8,48.3,18.7,22.2,0.0,0.0
