tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
02-07-2026,00:00,16.0,Cerah,92.0,4.2
02-07-2026,01:00,16.0,Cerah,92.0,4.2
02-07-2026,02:00,16.0,Cerah,92.0,4.2
02-07-2026,03:00,16.0,Cerah,92.0,4.2
02-07-2026,04:00,16.0,Berawan,98.0,4.7
02-07-2026,05:00,16.0,Berawan,98.0,4.7
02-07-2026,06:00,16.0,Berawan,98.0,4.7
02-07-2026,07:00,22.0,Cerah Berawan,63.0,4.7
02-07-2026,08:00,22.0,Cerah Berawan,63.0,4.7
02-07-2026,09:00,22.0,Cerah Berawan,63.0,4.7
02-07-2026,10:00,27.0,Berawan,33.0,11.1
02-07-2026,11:00,27.0,Berawan,33.0,11.1
02-07-2026,12:00,27.0,Berawan,33.0,11.1
02-07-2026,13:00,26.0,Cerah Berawan,44.0,11.1
02-07-2026,14:00,26.0,Cerah Berawan,44.0,11.1
02-07-2026,15:00,26.0,Cerah Berawan,44.0,11.1
02-07-2026,16:00,22.0,Cerah Berawan,65.0,2.6
02-07-2026,17:00,22.0,Cerah Berawan,65.0,2.6
02-07-2026,18:00,22.0,Cerah Berawan,65.0,2.6
02-07-2026,19:00,20.0,Cerah,76.0,2.6
02-07-2026,20:00,20.0,Cerah,76.0,2.6
02-07-2026,21:00,20.0,Cerah,76.0,2.6
02-07-2026,22:00,18.0,Cerah,84.0,1.1
02-07-2026,23:00,18.0,Cerah,84.0,1.1
