location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,14:00,2026-09-14 17:00:00,25.0,47.0,0.0,3.6,180.0,0.9123,Cerah Berawan,Cerah Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,15:00,2026-09-14 17:00:00,25.0,47.0,0.0,3.6,120.0,0.9123,Cerah Berawan,Cerah Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,16:00,2026-09-14 17:00:00,25.0,47.0,0.0,3.6,60.0,1.2441,Cerah Berawan,Cerah Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,17:00,2026-09-14 17:00:00,25.0,47.0,0.0,3.6,0.0,1.6588,Cerah Berawan,Cerah Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,18:00,2026-09-14 17:00:00,25.0,47.0,0.0,3.6,60.0,1.2441,Cerah Berawan,Cerah Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,19:00,2026-09-14 20:00:00,21.0,60.0,0.0,7.0,60.0,1.2441,Berawan,Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,20:00,2026-09-14 20:00:00,21.0,60.0,0.0,7.0,0.0,1.6588,Berawan,Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,21:00,2026-09-14 20:00:00,21.0,60.0,0.0,7.0,60.0,1.2441,Berawan,Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,22:00,2026-09-14 23:00:00,18.0,56.0,0.0,8.9,60.0,1.2441,Berawan,Berawan
dago,"Dago, Bandung",2026-09-14,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",14-09-2026,BMKG,BMKG,23:00,2026-09-14 23:00:00,18.0,56.0,0.0,8.9,0.0,1.6588,Berawan,Berawan
