location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,BMKG,BMKG,10:00,2026-05-01 10:00:00,26.0,70.0,1.5,5.0,0.0,1.35,Hujan Ringan,Hujan Ringan
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,BMKG,BMKG,13:00,2026-05-01 13:00:00,23.0,83.0,1.5,4.9,0.0,1.35,Hujan Ringan,Hujan Ringan
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,BMKG,BMKG,16:00,2026-05-01 16:00:00,22.0,88.0,1.5,2.9,0.0,1.35,Hujan Ringan,Hujan Ringan
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,BMKG,BMKG,19:00,2026-05-01 19:00:00,21.0,90.0,0.0,5.3,0.0,1.35,Berawan,Berawan
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,BMKG,BMKG,22:00,2026-05-01 22:00:00,20.0,91.0,0.0,3.6,0.0,1.35,Cerah,Cerah
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,CMA,Open-Meteo / CMA GRAPES,10:00,2026-05-01 10:00:00,25.9,76.0,0.0,4.7,0.0,0.85,Berawan,wmo:3
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,CMA,Open-Meteo / CMA GRAPES,13:00,2026-05-01 13:00:00,25.3,81.0,1.9,9.3,0.0,0.85,Hujan Ringan,wmo:80
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,CMA,Open-Meteo / CMA GRAPES,16:00,2026-05-01 16:00:00,23.2,87.0,4.6,4.3,0.0,0.85,Hujan Sedang,wmo:81
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,CMA,Open-Meteo / CMA GRAPES,19:00,2026-05-01 19:00:00,23.6,87.0,1.4,2.6,0.0,0.85,Hujan Ringan,wmo:80
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,CMA,Open-Meteo / CMA GRAPES,22:00,2026-05-01 22:00:00,23.5,88.0,0.4,3.1,0.0,0.85,Hujan Ringan,wmo:51
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ECMWF,Open-Meteo / ECMWF,10:00,2026-05-01 10:00:00,26.3,69.0,0.0,5.5,0.0,1.2,Cerah,wmo:0
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ECMWF,Open-Meteo / ECMWF,13:00,2026-05-01 13:00:00,25.8,68.0,0.1,6.8,0.0,1.2,Hujan Ringan,wmo:51
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ECMWF,Open-Meteo / ECMWF,16:00,2026-05-01 16:00:00,24.2,78.0,0.3,5.9,0.0,1.2,Hujan Ringan,wmo:51
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ECMWF,Open-Meteo / ECMWF,19:00,2026-05-01 19:00:00,21.6,94.0,1.0,0.8,0.0,1.2,Hujan Ringan,wmo:55
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ECMWF,Open-Meteo / ECMWF,22:00,2026-05-01 22:00:00,21.2,88.0,0.0,1.1,0.0,1.2,Berawan,wmo:3
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,GFS,Open-Meteo / NOAA GFS,10:00,2026-05-01 10:00:00,26.5,65.0,0.0,6.7,0.0,1.0,Berawan,wmo:3
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,GFS,Open-Meteo / NOAA GFS,13:00,2026-05-01 13:00:00,27.9,63.0,1.6,4.2,0.0,1.0,Hujan Ringan,wmo:80
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,GFS,Open-Meteo / NOAA GFS,16:00,2026-05-01 16:00:00,26.2,69.0,1.1,2.8,0.0,1.0,Hujan Ringan,wmo:55
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,GFS,Open-Meteo / NOAA GFS,19:00,2026-05-01 19:00:00,22.6,87.0,0.8,2.4,0.0,1.0,Hujan Ringan,wmo:53
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,GFS,Open-Meteo / NOAA GFS,22:00,2026-05-01 22:00:00,21.9,91.0,0.8,5.6,0.0,1.0,Hujan Ringan,wmo:53
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ICON,Open-Meteo / DWD ICON,10:00,2026-05-01 10:00:00,26.7,80.0,0.0,3.0,0.0,1.05,Cerah Berawan,wmo:2
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ICON,Open-Meteo / DWD ICON,13:00,2026-05-01 13:00:00,26.7,82.0,2.2,7.9,0.0,1.05,Hujan Lebat,wmo:96
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ICON,Open-Meteo / DWD ICON,16:00,2026-05-01 16:00:00,25.3,87.0,3.3,2.4,0.0,1.05,Hujan Lebat,wmo:96
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ICON,Open-Meteo / DWD ICON,19:00,2026-05-01 19:00:00,24.2,91.0,0.1,1.8,0.0,1.05,Hujan Ringan,wmo:61
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,ICON,Open-Meteo / DWD ICON,22:00,2026-05-01 22:00:00,24.0,91.0,0.0,2.2,0.0,1.05,Berawan,wmo:3
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,KMA,Open-Meteo / KMA,10:00,2026-05-01 10:00:00,,,,,0.0,0.63,Berawan,wmo:None
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,KMA,Open-Meteo / KMA,13:00,2026-05-01 13:00:00,,,,,0.0,0.63,Berawan,wmo:None
dago,"Dago, Bandung",2026-05-01,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01-05-2026,KMA,Open-Meteo / KMA,16:00,2026-05-01 16:00:00,,,,,0.0,0.63,Berawan,wmo:None
