source_id,samples,avg_overall_score,avg_temp_error,avg_rh_error,avg_rain_error,avg_category_score,base_weight,derived_weight
BMKG,69,84.53,1.67,8.51,,79.42,1.35,1.858
CMA,240,85.8,2.1,12.14,0.02,81.58,0.85,1.1785
ECMWF,240,88.92,1.31,6.7,0.02,78.75,1.2,1.6936
GFS,240,90.05,1.72,5.36,0.01,86.08,1.0,1.4204
ICON,240,89.77,0.95,6.07,0.01,77.25,1.05,1.4891
KMA,240,20.29,,,,64.92,0.9,0.7761
METEOFRANCE,240,89.14,0.97,7.46,0.01,76.58,1.1,1.5544
METNO,76,92.05,0.81,5.52,0.04,84.47,1.0,1.4364
UKMO,240,88.51,1.52,6.92,0.02,79.67,0.95,1.3376
