target_date,source_id,jam,temp_error,rh_error,rain_error,category_score,overall_score
2026-06-12,ICON,06:00,0.8,3.0,0.0,60.0,86.86
2026-06-12,ICON,07:00,0.5,2.0,0.0,60.0,88.0
2026-06-12,ICON,08:00,0.5,2.0,0.0,100.0,98.0
2026-06-12,ICON,09:00,2.8,15.0,0.0,60.0,77.66
2026-06-12,ICON,10:00,2.4,8.0,0.0,100.0,90.88
2026-06-12,ICON,11:00,1.4,4.0,0.0,100.0,94.88
2026-06-12,ICON,12:00,0.6,2.0,0.0,100.0,97.72
2026-06-12,ICON,13:00,0.3,4.0,0.3,0.0,71.76
2026-06-12,ICON,14:00,0.6,3.0,0.0,60.0,87.42
2026-06-12,ICON,15:00,0.2,3.0,0.0,60.0,88.54
2026-06-12,ICON,16:00,0.1,8.0,0.0,60.0,87.32
2026-06-12,ICON,17:00,0.2,9.0,0.0,100.0,96.74
2026-06-12,ICON,18:00,0.4,10.0,0.0,100.0,95.88
2026-06-12,ICON,19:00,2.2,20.0,0.0,60.0,77.84
2026-06-12,ICON,20:00,1.3,16.0,0.0,100.0,91.56
2026-06-12,ICON,21:00,0.7,11.0,0.0,60.0,84.74
2026-06-12,ICON,22:00,0.4,7.0,0.0,60.0,86.78
2026-06-12,ICON,23:00,0.4,6.0,0.0,100.0,97.08
2026-06-12,KMA,00:00,,,,60.0,18.75
2026-06-12,KMA,01:00,,,,60.0,18.75
2026-06-12,KMA,02:00,,,,60.0,18.75
2026-06-12,KMA,03:00,,,,60.0,18.75
2026-06-12,KMA,04:00,,,,60.0,18.75
2026-06-12,KMA,05:00,,,,60.0,18.75
2026-06-12,KMA,06:00,,,,60.0,18.75
2026-06-12,KMA,07:00,,,,60.0,18.75
2026-06-12,KMA,08:00,,,,100.0,31.25
2026-06-12,KMA,09:00,,,,100.0,31.25
2026-06-12,KMA,10:00,,,,60.0,18.75
2026-06-12,KMA,11:00,,,,60.0,18.75
2026-06-12,KMA,12:00,,,,60.0,18.75
2026-06-12,KMA,13:00,,,,0.0,0.0
2026-06-12,KMA,14:00,,,,60.0,18.75
2026-06-12,KMA,15:00,,,,60.0,18.75
2026-06-12,KMA,16:00,,,,100.0,31.25
2026-06-12,KMA,17:00,,,,100.0,31.25
2026-06-12,KMA,18:00,,,,100.0,31.25
2026-06-12,KMA,19:00,,,,100.0,31.25
2026-06-12,KMA,20:00,,,,60.0,18.75
2026-06-12,KMA,21:00,,,,100.0,31.25
2026-06-12,KMA,22:00,,,,100.0,31.25
2026-06-12,KMA,23:00,,,,100.0,31.25
2026-06-12,METEOFRANCE,00:00,0.8,2.0,0.0,60.0,87.16
2026-06-12,METEOFRANCE,01:00,0.4,4.0,0.0,100.0,97.68
2026-06-12,METEOFRANCE,02:00,0.7,5.0,0.0,60.0,86.54
2026-06-12,METEOFRANCE,03:00,1.0,5.0,0.0,60.0,85.7
2026-06-12,METEOFRANCE,04:00,0.9,2.0,0.0,60.0,86.88
