tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
01-07-2026,00:00,16.0,Cerah,94.0,1.3
01-07-2026,01:00,16.0,Cerah,94.0,1.3
01-07-2026,02:00,17.0,Cerah Berawan,93.0,0.7
01-07-2026,03:00,17.0,Cerah Berawan,93.0,0.7
01-07-2026,04:00,17.0,Cerah Berawan,93.0,0.7
01-07-2026,05:00,16.0,Cerah,86.0,2.0
01-07-2026,06:00,16.0,Cerah,86.0,2.0
01-07-2026,07:00,16.0,Cerah,86.0,2.0
01-07-2026,08:00,24.0,Cerah,61.0,2.0
01-07-2026,09:00,24.0,Cerah,61.0,2.0
01-07-2026,10:00,24.0,Cerah,61.0,2.0
01-07-2026,11:00,27.0,Berawan,49.0,9.0
01-07-2026,12:00,27.0,Berawan,49.0,9.0
01-07-2026,13:00,27.0,Berawan,49.0,9.0
01-07-2026,14:00,25.0,Cerah Berawan,58.0,9.0
01-07-2026,15:00,25.0,Cerah Berawan,58.0,9.0
01-07-2026,16:00,25.0,Cerah Berawan,58.0,9.0
01-07-2026,17:00,21.0,Cerah Berawan,77.0,4.0
01-07-2026,18:00,21.0,Cerah Berawan,77.0,4.0
01-07-2026,19:00,21.0,Cerah Berawan,77.0,4.0
01-07-2026,20:00,19.0,Cerah,95.0,4.0
01-07-2026,21:00,19.0,Cerah,95.0,4.0
01-07-2026,22:00,19.0,Cerah,95.0,4.0
01-07-2026,23:00,19.0,Cerah,95.0,4.0
