bin,n,mean_forecast_pct,observed_frequency_pct
00-10,1374,2.27,1.16
10-20,150,14.5,21.33
20-30,108,24.66,33.33
30-40,62,34.98,50.0
40-50,29,44.32,44.83
50-60,17,54.86,52.94
60-70,8,64.46,87.5
70-80,4,70.38,75.0
80-90,0,,
90-100,0,,
