date,day_tag,risk_score,risk_label,peak_rain_probability,peak_rain_hour,best_activity_window,summary
2026-09-07,Hari ini,93.0,Berpotensi signifikan,100.0,05:00,06:00 · 07:00 · 08:00 · 09:00,"Jatinangor, Sumedang: Disarankan untuk membatasi aktivitas luar ruang di sekitar pukul 05:00 WIB (peluang 100.0%). Periode nyaman terpantau pada: 06:00 · 07:00 · 08:00 · 09:00."
2026-09-08,Besok,47.4,Perlu diperhatikan,50.0,16:00,06:00 · 08:00 · 09:00 · 11:00,"Jatinangor, Sumedang: Potensi hujan terpantau. Siapkan perlengkapan hujan di sekitar pukul 16:00 WIB (peluang 50.0%). Periode nyaman terpantau pada: 06:00 · 08:00 · 09:00 · 11:00."
2026-09-09,Lusa,47.5,Perlu diperhatikan,50.0,17:00,08:00 · 09:00 · 10:00 · 11:00,"Jatinangor, Sumedang: Potensi hujan terpantau. Siapkan perlengkapan hujan di sekitar pukul 17:00 WIB (peluang 50.0%). Periode nyaman terpantau pada: 08:00 · 09:00 · 10:00 · 11:00."
