tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
27-09-2026,00:00,20.0,Cerah Berawan,94.0,1.0
27-09-2026,01:00,20.0,Cerah Berawan,94.0,1.0
27-09-2026,02:00,20.0,Cerah Berawan,94.0,1.0
27-09-2026,03:00,20.0,Cerah,96.0,2.4
27-09-2026,04:00,20.0,Cerah,96.0,2.4
27-09-2026,05:00,20.0,Cerah,96.0,2.4
27-09-2026,06:00,23.0,Cerah,82.0,2.8
27-09-2026,07:00,23.0,Cerah,82.0,2.8
27-09-2026,08:00,23.0,Cerah,82.0,2.8
27-09-2026,09:00,28.0,Hujan Ringan,58.0,5.1
27-09-2026,10:00,28.0,Hujan Ringan,58.0,5.1
27-09-2026,11:00,28.0,Hujan Ringan,58.0,5.1
27-09-2026,12:00,22.0,Hujan Ringan,91.0,7.7
27-09-2026,13:00,22.0,Hujan Ringan,91.0,7.7
27-09-2026,14:00,22.0,Hujan Ringan,91.0,7.7
27-09-2026,15:00,23.0,Cerah,81.0,1.7
27-09-2026,16:00,23.0,Cerah,81.0,1.7
27-09-2026,17:00,23.0,Cerah,81.0,1.7
27-09-2026,18:00,21.0,Cerah,94.0,1.8
27-09-2026,19:00,21.0,Cerah,94.0,1.8
27-09-2026,20:00,21.0,Cerah,94.0,1.8
27-09-2026,21:00,20.0,Cerah,93.0,1.7
27-09-2026,22:00,20.0,Cerah,93.0,1.7
27-09-2026,23:00,20.0,Cerah,93.0,1.7
